,date,months_supply,closed_sales,median_price,homes_for_sale,average_price,median_income,rate_of_inflation,population,growth,growth_rate,unemployment_rate,fed_funds,income_was_missing
0,2017-01-01,8.07,265,103,1374,118,54667.0,2.3,289309.0,694.0,0.0024,5.2,0.65,False
1,2017-02-01,6.85,320,102,1414,122,54667.0,2.2,289309.0,694.0,0.0024,5.0,0.66,False
2,2017-03-01,4.9,453,105,1397,120,54667.0,2.0,289309.0,694.0,0.0024,4.6,0.79,False
3,2017-04-01,5.22,422,108,1381,123,54667.0,1.9,289309.0,694.0,0.0024,4.3,0.9,False
4,2017-05-01,4.15,534,107,1351,124,54667.0,1.7,289309.0,694.0,0.0024,4.4,0.91,False
5,2017-06-01,4.3,517,112,1338,130,54667.0,1.7,289309.0,694.0,0.0024,4.7,1.04,False
6,2017-07-01,4.82,450,110,1281,119,54667.0,1.7,289309.0,694.0,0.0024,4.6,1.15,False
7,2017-08-01,4.64,463,111,1264,124,54667.0,1.7,289309.0,694.0,0.0024,4.7,1.16,False
8,2017-09-01,5.61,365,111,1244,121,54667.0,1.7,289309.0,694.0,0.0024,4.2,1.15,False
9,2017-10-01,5.45,380,105,1251,119,54667.0,1.8,289309.0,694.0,0.0024,4.1,1.15,False
10,2017-11-01,5.36,377,106,1221,120,54667.0,1.7,289309.0,694.0,0.0024,3.9,1.16,False
11,2017-12-01,4.75,405,109,1196,122,54667.0,1.8,289309.0,694.0,0.0024,3.9,1.3,False
12,2018-01-01,6.99,280,106,1247,125,54165.0,1.8,289166.0,-143.0,-0.0005,4.2,1.41,False
13,2018-02-01,6.93,297,110,1327,125,54165.0,1.8,289166.0,-143.0,-0.0005,4.0,1.42,False
14,2018-03-01,4.8,442,115,1390,137,54165.0,2.1,289166.0,-143.0,-0.0005,3.7,1.51,False
15,2018-04-01,4.49,484,115,1402,131,54165.0,2.1,289166.0,-143.0,-0.0005,3.5,1.69,False
16,2018-05-01,4.32,511,112,1416,132,54165.0,2.2,289166.0,-143.0,-0.0005,3.4,1.7,False
17,2018-06-01,3.68,573,114,1313,132,54165.0,2.3,289166.0,-143.0,-0.0005,4.1,1.82,False
18,2018-07-01,4.31,482,113,1281,127,54165.0,2.4,289166.0,-143.0,-0.0005,3.9,1.91,False
19,2018-08-01,4.03,507,115,1243,131,54165.0,2.2,289166.0,-143.0,-0.0005,3.9,1.91,False
20,2018-09-01,4.73,416,113,1217,125,54165.0,2.2,289166.0,-143.0,-0.0005,3.4,1.95,False
