Metric:,Closed Sales
Time Calculation:,Monthly
Data from:,6/28/2022
Segments:,Chatham County

Filters
Chatham County:,"Residential"


Date,"Chatham County",
January 2017,265,
February 2017,320,
March 2017,453,
April 2017,422,
May 2017,534,
June 2017,517,
July 2017,450,
August 2017,463,
September 2017,365,
October 2017,380,
November 2017,377,
December 2017,405,
January 2018,280,
February 2018,297,
March 2018,442,
April 2018,484,
May 2018,511,
June 2018,573,
July 2018,482,
August 2018,507,
September 2018,416,
October 2018,385,
November 2018,367,
December 2018,344,
January 2019,313,
February 2019,337,
March 2019,461,
April 2019,492,
May 2019,544,
June 2019,524,
July 2019,500,
August 2019,494,
September 2019,377,
October 2019,406,
November 2019,407,
December 2019,428,
January 2020,337,
February 2020,344,
March 2020,465,
April 2020,417,
May 2020,388,
June 2020,488,
July 2020,586,
August 2020,608,
September 2020,576,
October 2020,559,
November 2020,440,
December 2020,535,
January 2021,412,
February 2021,462,
March 2021,615,
April 2021,665,
May 2021,625,
June 2021,677,
July 2021,656,
August 2021,626,
September 2021,583,
October 2021,564,
November 2021,545,
December 2021,589,
January 2022,421,
February 2022,448,
March 2022,550,
April 2022,542,
May 2022,549,


"All data from Savannah Multi List Corporation. InfoSparks &copy; 2022 ShowingTime."


