date,average-price
17-Jan,118
17-Feb,122
17-Mar,120
17-Apr,123
17-May,124
17-Jun,130
17-Jul,119
17-Aug,124
17-Sep,121
17-Oct,119
17-Nov,120
17-Dec,122
18-Jan,125
18-Feb,125
18-Mar,137
18-Apr,131
18-May,132
18-Jun,132
18-Jul,127
18-Aug,131
18-Sep,125
18-Oct,136
18-Nov,131
18-Dec,124
19-Jan,123
19-Feb,123
19-Mar,133
19-Apr,135
19-May,143
19-Jun,130
19-Jul,133
19-Aug,140
19-Sep,138
19-Oct,133
19-Nov,134
19-Dec,136
20-Jan,136
20-Feb,135
20-Mar,141
20-Apr,136
20-May,136
20-Jun,145
20-Jul,142
20-Aug,150
20-Sep,161
20-Oct,155
20-Nov,153
20-Dec,151
21-Jan,158
21-Feb,156
21-Mar,164
21-Apr,167
21-May,164
21-Jun,171
21-Jul,170
21-Aug,168
21-Sep,168
21-Oct,169
21-Nov,184
21-Dec,176
22-Jan,180
22-Feb,183
22-Mar,189
22-Apr,196
22-May,209
