date,homes-for-sale
17-Jan,1374
17-Feb,1414
17-Mar,1397
17-Apr,1381
17-May,1351
17-Jun,1338
17-Jul,1281
17-Aug,1264
17-Sep,1244
17-Oct,1251
17-Nov,1221
17-Dec,1196
18-Jan,1247
18-Feb,1327
18-Mar,1390
18-Apr,1402
18-May,1416
18-Jun,1313
18-Jul,1281
18-Aug,1243
18-Sep,1217
18-Oct,1282
18-Nov,1285
18-Dec,1279
19-Jan,1327
19-Feb,1371
19-Mar,1404
19-Apr,1426
19-May,1436
19-Jun,1415
19-Jul,1440
19-Aug,1476
19-Sep,1534
19-Oct,1617
19-Nov,1665
19-Dec,1633
20-Jan,1798
20-Feb,1860
20-Mar,1846
20-Apr,1790
20-May,1841
20-Jun,1796
20-Jul,1742
20-Aug,1614
20-Sep,1539
20-Oct,1496
20-Nov,1430
20-Dec,1252
21-Jan,1209
21-Feb,1170
21-Mar,1199
21-Apr,1197
21-May,1255
21-Jun,1282
21-Jul,1321
21-Aug,1342
21-Sep,1401
21-Oct,1422
21-Nov,1362
21-Dec,1270
22-Jan,1329
22-Feb,1414
22-Mar,1492
22-Apr,1614
22-May,1806
