date,median-price
Jan-17,103
Feb-17,102
Mar-17,105
Apr-17,108
May-17,107
Jun-17,112
Jul-17,110
Aug-17,111
Sep-17,111
Oct-17,105
Nov-17,106
Dec-17,109
Jan-18,106
Feb-18,110
Mar-18,115
Apr-18,115
May-18,112
Jun-18,114
Jul-18,113
Aug-18,115
Sep-18,113
Oct-18,115
Nov-18,116
Dec-18,111
Jan-19,108
Feb-19,113
Mar-19,113
Apr-19,119
May-19,121
Jun-19,117
Jul-19,118
Aug-19,122
Sep-19,121
Oct-19,118
Nov-19,116
Dec-19,119
Jan-20,120
Feb-20,119
Mar-20,124
Apr-20,121
May-20,124
Jun-20,129
Jul-20,125
Aug-20,129
Sep-20,133
Oct-20,134
Nov-20,134
Dec-20,132
Jan-21,135
Feb-21,134
Mar-21,139
Apr-21,145
May-21,142
Jun-21,143
Jul-21,147
Aug-21,146
Sep-21,147
Oct-21,146
Nov-21,155
Dec-21,151
Jan-22,162
Feb-22,160
Mar-22,165
Apr-22,173
May-22,179
