date,month-supply
Jan-18,3
Feb-18,3.2
Mar-18,3.4
Apr-18,3.4
May-18,3.4
Jun-18,3.1
Jul-18,3
Aug-18,2.9
Sep-18,2.8
Oct-18,3
Nov-18,3
Dec-18,3
Jan-19,3.1
Feb-19,3.2
Mar-19,3.3
Apr-19,3.3
May-19,3.3
Jun-19,3.3
Jul-19,3.3
Aug-19,3.4
Sep-19,3.6
Oct-19,3.8
Nov-19,3.8
Dec-19,3.7
Jan-20,4.1
Feb-20,4.2
Mar-20,4.2
Apr-20,4.1
May-20,4.3
Jun-20,4.3
Jul-20,4.1
Aug-20,3.7
Sep-20,3.4
Oct-20,3.2
Nov-20,3
Dec-20,2.6
Jan-21,2.5
Feb-21,2.4
Mar-21,2.4
Apr-21,2.3
May-21,2.3
Jun-21,2.3
Jul-21,2.3
Aug-21,2.4
Sep-21,2.5
Oct-21,2.5
Nov-21,2.3
Dec-21,2.2
Jan-22,2.3
Feb-22,2.4
Mar-22,2.6
Apr-22,2.8
May-22,3.2
