Metric:,Homes for Sale
Time Calculation:,Monthly
Data from:,6/28/2022
Segments:,Chatham County

Filters
Chatham County:,"Residential"


Date,"Chatham County",
January 2017,1374,
February 2017,1414,
March 2017,1397,
April 2017,1381,
May 2017,1351,
June 2017,1338,
July 2017,1281,
August 2017,1264,
September 2017,1244,
October 2017,1251,
November 2017,1221,
December 2017,1196,
January 2018,1247,
February 2018,1327,
March 2018,1390,
April 2018,1402,
May 2018,1416,
June 2018,1313,
July 2018,1281,
August 2018,1243,
September 2018,1217,
October 2018,1282,
November 2018,1285,
December 2018,1279,
January 2019,1327,
February 2019,1371,
March 2019,1404,
April 2019,1426,
May 2019,1436,
June 2019,1415,
July 2019,1440,
August 2019,1476,
September 2019,1534,
October 2019,1617,
November 2019,1665,
December 2019,1633,
January 2020,1798,
February 2020,1860,
March 2020,1846,
April 2020,1790,
May 2020,1841,
June 2020,1796,
July 2020,1742,
August 2020,1614,
September 2020,1539,
October 2020,1496,
November 2020,1430,
December 2020,1252,
January 2021,1209,
February 2021,1170,
March 2021,1199,
April 2021,1197,
May 2021,1255,
June 2021,1282,
July 2021,1321,
August 2021,1342,
September 2021,1401,
October 2021,1422,
November 2021,1362,
December 2021,1270,
January 2022,1329,
February 2022,1414,
March 2022,1492,
April 2022,1614,
May 2022,1806,


"All data from Savannah Multi List Corporation. InfoSparks &copy; 2022 ShowingTime."


