date,unemployment-rate
Jan-17,5.2
Feb-17,5
Mar-17,4.6
Apr-17,4.3
May-17,4.4
Jun-17,4.7
Jul-17,4.6
Aug-17,4.7
Sep-17,4.2
Oct-17,4.1
Nov-17,3.9
Dec-17,3.9
Jan-18,4.2
Feb-18,4
Mar-18,3.7
Apr-18,3.5
May-18,3.4
Jun-18,4.1
Jul-18,3.9
Aug-18,3.9
Sep-18,3.4
Oct-18,3.6
Nov-18,3.3
Dec-18,3.6
Jan-19,4
Feb-19,3.6
Mar-19,3.4
Apr-19,3
May-19,3.2
Jun-19,3.6
Jul-19,3.6
Aug-19,3.7
Sep-19,3
Oct-19,3
Nov-19,2.7
Dec-19,2.8
Jan-20,3.4
Feb-20,3.4
Mar-20,4.6
Apr-20,16.4
May-20,11.7
Jun-20,9.4
Jul-20,9.3
Aug-20,7.2
Sep-20,7.4
Oct-20,5.2
Nov-20,6.2
Dec-20,6.1
Jan-21,5.6
Feb-21,5
Mar-21,4.4
Apr-21,4.7
May-21,4.5
Jun-21,5.1
Jul-21,4.4
Aug-21,4.2
Sep-21,3.6
Oct-21,3.5
Nov-21,3.1
Dec-21,3
Jan-22,3.5
Feb-22,3.4
Mar-22,3.4
Apr-22,2.6
,
