Metric:,Median Price Per Square Foot
Time Calculation:,Monthly
Data from:,6/28/2022
Segments:,Chatham County

Filters
Chatham County:,"Residential"


Date,"Chatham County",
January 2017,103,
February 2017,102,
March 2017,105,
April 2017,108,
May 2017,107,
June 2017,112,
July 2017,110,
August 2017,111,
September 2017,111,
October 2017,105,
November 2017,106,
December 2017,109,
January 2018,106,
February 2018,110,
March 2018,115,
April 2018,115,
May 2018,112,
June 2018,114,
July 2018,113,
August 2018,115,
September 2018,113,
October 2018,115,
November 2018,116,
December 2018,111,
January 2019,108,
February 2019,113,
March 2019,113,
April 2019,119,
May 2019,121,
June 2019,117,
July 2019,118,
August 2019,122,
September 2019,121,
October 2019,118,
November 2019,116,
December 2019,119,
January 2020,120,
February 2020,119,
March 2020,124,
April 2020,121,
May 2020,124,
June 2020,129,
July 2020,125,
August 2020,129,
September 2020,133,
October 2020,134,
November 2020,134,
December 2020,132,
January 2021,135,
February 2021,134,
March 2021,139,
April 2021,145,
May 2021,142,
June 2021,143,
July 2021,147,
August 2021,146,
September 2021,147,
October 2021,146,
November 2021,155,
December 2021,151,
January 2022,162,
February 2022,160,
March 2022,165,
April 2022,173,
May 2022,179,


"All data from Savannah Multi List Corporation. InfoSparks &copy; 2022 ShowingTime."


