Metric:,Months Supply of Homes for Sale
Time Calculation:,Monthly
Data from:,6/28/2022
Segments:,Chatham County

Filters
Chatham County:,"Residential"


Date,"Chatham County",
January 2018,3.0,
February 2018,3.2,
March 2018,3.4,
April 2018,3.4,
May 2018,3.4,
June 2018,3.1,
July 2018,3.0,
August 2018,2.9,
September 2018,2.8,
October 2018,3.0,
November 2018,3.0,
December 2018,3.0,
January 2019,3.1,
February 2019,3.2,
March 2019,3.3,
April 2019,3.3,
May 2019,3.3,
June 2019,3.3,
July 2019,3.3,
August 2019,3.4,
September 2019,3.6,
October 2019,3.8,
November 2019,3.8,
December 2019,3.7,
January 2020,4.1,
February 2020,4.2,
March 2020,4.2,
April 2020,4.1,
May 2020,4.3,
June 2020,4.3,
July 2020,4.1,
August 2020,3.7,
September 2020,3.4,
October 2020,3.2,
November 2020,3.0,
December 2020,2.6,
January 2021,2.5,
February 2021,2.4,
March 2021,2.4,
April 2021,2.3,
May 2021,2.3,
June 2021,2.3,
July 2021,2.3,
August 2021,2.4,
September 2021,2.5,
October 2021,2.5,
November 2021,2.3,
December 2021,2.2,
January 2022,2.3,
February 2022,2.4,
March 2022,2.6,
April 2022,2.8,
May 2022,3.2,


"All data from Savannah Multi List Corporation. InfoSparks &copy; 2022 ShowingTime."


